Player,WinChips,AttendCount,WinCount,LoseCount,PeaceCount,WinningRate,Date,Ranking
RealStrong,27692.3,96,66,27,3,68.75%,2025-10-31,1
BigTree,7857.9,51,37,14,0,72.55%,2025-10-31,2
Peter,6200.3,105,63,41,1,60.00%,2025-10-31,3
BigBrave,4221.4,42,28,12,2,66.67%,2025-10-31,4
Shawn,4058.3,18,12,6,0,66.67%,2025-10-31,5
mimi,2236.4,43,28,15,0,65.12%,2025-10-31,6
Panda,1732.6,18,10,8,0,55.56%,2025-10-31,7
Figo,280.0,10,4,6,0,40.00%,2025-10-31,8
Dean,-36.3,5,3,2,0,60.00%,2025-10-31,9
Wayne,-176.2,9,5,4,0,55.56%,2025-10-31,10
Jianyu,-620.0,1,0,1,0,0.00%,2025-10-31,11
BattleMan,-1400.0,1,0,1,0,0.00%,2025-10-31,12
Rex,-1630.0,8,2,6,0,25.00%,2025-10-31,13
Jerry,-1825.9,53,29,24,0,54.72%,2025-10-31,14
Citizen,-2405.7,56,24,32,0,42.86%,2025-10-31,15
FatFish,-2530.0,1,0,1,0,0.00%,2025-10-31,16
DoubleCloud,-4900.7,18,9,9,0,50.00%,2025-10-31,17
Albert,-5390.9,18,7,11,0,38.89%,2025-10-31,18
topOne,-8015.4,51,24,26,1,47.06%,2025-10-31,19
Anton,-8591.4,90,46,43,1,51.11%,2025-10-31,20
Onion,-9662.1,54,24,30,0,44.44%,2025-10-31,21
West,-13842.0,86,44,42,0,51.16%,2025-10-31,22
Seek,-19245.4,40,20,20,0,50.00%,2025-10-31,23
